object_id,f_min_label_N,f_max_label_N,label_source,is_measured,value_basis,evidence,f_max_basis,f_min_semantics,f_min_single_N,f_max_semantics,f_max_total_N,conversion_rule
RIG009,2.0,,近似转移(纸盒装),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG010,5.0,,近似转移(手动工具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG011,5.0,,近似转移(手动工具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG012,5.0,,近似转移(工具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG013,2.0,,ExpForce同型实测(Magic tape roll (Duct tape roll 1.0); f_min=2.0N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力),[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG014,5.0,,近似转移(桌面工具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG015,2.0,,近似转移(手机类电子),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG016,2.0,,ExpForce同型实测(Green power bank; f_min=2.0N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力),[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG017,1.0,,ExpForce同型实测(TV remote control; f_min=1.0N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力),[0821删] 原估算值2.0N(两指法向力之和(估算)),两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG018,2.0,,近似转移(桌面电子),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG019,2.0,,近似转移(书本),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG020,2.0,,近似转移(硬面本),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG021,1.0,,近似转移(硬塑料块),0,估算,,[0821删] 原估算值2.0N(两指法向力之和(估算)),两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG022,2.0,,近似转移(杯面),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG023,2.0,,"同型转移(碳酸饮料瓶,同型)",0,近似转移,"文献参照: 同RIG002, PET瓶屈曲1300N",[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG024,2.0,,近似转移(运动水壶),0,近似转移,ExpForce同类参照: Protein shaker bottle 2.0N,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG025,3.25,,近似转移(喷瓶),0,近似转移,ExpForce同类参照: Clorox cleaner bottle 3.25N (喷瓶),[0821删] 原估算值6.5N(两指法向力之和(估算)),两指法向力之和,1.625,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG026,2.0,,近似转移(食品罐),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG027,2.0,,近似转移(利乐盒),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG028,2.0,,近似转移(利乐盒),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG029,5.0,,近似转移(手动工具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG030,2.0,,近似转移(卷状物),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG031,5.0,,近似转移(手动工具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG032,5.0,,近似转移(刀具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG033,2.0,,近似转移(桌面电子),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG034,2.0,,近似转移(桌面电子),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG035,2.0,,近似转移(手持电子),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG036,2.0,,近似转移(小型电子),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG037,5.0,,近似转移(电子配件),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG038,5.0,,近似转移(硬质文具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG039,5.0,,近似转移(硬质文具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG040,2.0,,近似转移(文具),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG041,2.0,,近似转移(文具),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG042,5.0,,近似转移(文具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG043,1.5,,近似转移(收纳硬盒),0,估算,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG044,1.0,,近似转移(个人护理),0,估算,,[0821删] 原估算值2.0N(两指法向力之和(估算)),两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG045,1.5,,近似转移(小盒装),0,估算,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG046,1.0,,近似转移(小型电子),0,估算,,[0821删] 原估算值2.0N(两指法向力之和(估算)),两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG047,1.0,,近似转移(硬壳盒),0,估算,,[0821删] 原估算值2.0N(两指法向力之和(估算)),两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG048,1.5,,近似转移(卷状硬物),0,估算,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG049,1.5,,ExpForce同型实测(Umbrella (Folded); f_min=1.5N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力),[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG050,3.0,,近似转移(硬塑料容器),0,估算,,[0821删] 原估算值6.0N(两指法向力之和(估算)),两指法向力之和,1.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG051,5.0,,近似转移(金属重物),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG052,3.0,,近似转移(硬塑料容器),0,估算,,[0821删] 原估算值6.0N(两指法向力之和(估算)),两指法向力之和,1.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG053,5.0,,近似转移(金属容器),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG054,2.5,,近似转移(调料瓶),0,近似转移,ExpForce同类参照: Yellow mustard bottle 3.25N,[0821删] 原估算值5.0N(两指法向力之和(估算)),两指法向力之和,1.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG055,3.5,,近似转移(糖盒),0,估算,,[0821删] 原估算值7.0N(两指法向力之和(估算)),两指法向力之和,1.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG056,2.0,,近似转移(食品铁盒),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG057,2.0,,近似转移(谷物盒),0,近似转移,ExpForce同类参照: Muffin mix box 2.0N (纸盒),[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG058,2.0,,近似转移(罐装食品),0,近似转移,"ExpForce同类参照: Spam canned meat 2.5N (罐装) | 文献参照: 同RIG006, 金属罐轴向压溃679-2400N",[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG059,2.0,,近似转移(咖啡盒),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG060,2.5,,近似转移(奶粉罐),0,估算,,[0821删] 原估算值5.0N(两指法向力之和(估算)),两指法向力之和,1.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA061,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.75N(近似转移(玻璃容器)),[0821删] 原估算值1.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA062,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(玻璃碗)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA063,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷壶)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA064,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷盆)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA065,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷罐)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA066,,,未找到实测,0,未找到实测,ExpForce同类参照: Glass Coca-Cola bottle 2.5N (空瓶) | 文献参照: 同FRA005 小玻璃瓶径向>=1067N; 汽水瓶/奶瓶未单独实测 | [0821删] 原近似转移值2.5N(近似转移(玻璃瓶)),[0821删] 原估算值5.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB01,3.25,,同型转移(芥末酱瓶),0,近似转移,,[0821删] 原估算值6.5N(两指法向力之和(估算)),两指法向力之和,1.625,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB02,2.5,,同型转移(肉罐头),0,近似转移,,[0821删] 原估算值5.0N(两指法向力之和(估算)),两指法向力之和,1.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB03,2.0,,同型转移(饼干盒),0,近似转移,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB04,3.5,,同型转移(糖盒),0,近似转移,,[0821删] 原估算值7.0N(两指法向力之和(估算)),两指法向力之和,1.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB05,2.5,,"同型转移(番茄汤罐,同型)",0,近似转移,,[0821删] 原估算值5.0N(两指法向力之和(估算)),两指法向力之和,1.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB06,3.25,,"同型转移(芥末瓶,同型)",0,近似转移,,[0821删] 原估算值6.5N(两指法向力之和(估算)),两指法向力之和,1.625,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB07,1.5,,"同型转移(金枪鱼罐,同型)",0,近似转移,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB08,2.0,,近似转移(零食盒),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB09,2.0,,近似转移(零食盒),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB10,2.5,,"同型转移(午餐肉罐,同型)",0,近似转移,,[0821删] 原估算值5.0N(两指法向力之和(估算)),两指法向力之和,1.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB11,1.0,,"同型转移(香蕉,同型)",0,近似转移,,[0821删] 原估算值2.0N(两指法向力之和(估算)),两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB12,0.5,,"同型转移(草莓,同型)",0,近似转移,,[0821删] 原估算值1.0N(两指法向力之和(估算)),两指法向力之和,0.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB13,1.5,,近似转移(苹果),0,估算,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB14,1.5,,"同型转移(梨,同型)",0,近似转移,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB15,1.5,,"同型转移(橙子,同型)",0,近似转移,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB16,1.5,,"同型转移(苹果,同型)",0,近似转移,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB17,1.0,,近似转移(柑橘),0,估算,,[0821删] 原估算值2.0N(两指法向力之和(估算)),两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB18,5.0,,近似转移(手动工具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB19,7.0,,"同型转移(电钻,同型)",0,近似转移,,[0821删] 原估算值14.0N(两指法向力之和(估算)),两指法向力之和,3.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB20,5.0,,近似转移(硬质工具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
YCB21,5.0,,近似转移(手动工具),0,估算,,[0821删] 原估算值10.0N(两指法向力之和(估算)),两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E001,0.25,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值1.25N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E002,1.5,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值7.5N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E003,2.5,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值12.5N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,1.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E004,0.25,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值0.75N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E005,0.25,2.1,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | GB/T 27590-2011 纸杯杯身挺度(径向双板对压至9.5mm变形): <=250mL 合格品>=2.10N/一等品>=2.60N/优等品>=3.00N; http://www.xktest.com/news/s57233.html,国标实测(纸杯杯身挺度下限),两指法向力之和,0.125,单指法向力(双板对压),4.2,F_total = 2×F_single (SAFETYVTLA默认反算)
E006,0.25,2.1,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | GB/T 27590-2011 纸杯杯身挺度(径向双板对压至9.5mm变形): <=250mL 合格品>=2.10N/一等品>=2.60N/优等品>=3.00N; http://www.xktest.com/news/s57233.html,国标实测(纸杯杯身挺度下限),两指法向力之和,0.125,单指法向力(双板对压),4.2,F_total = 2×F_single (SAFETYVTLA默认反算)
E007,0.25,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值0.75N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E008,0.75,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值1.5N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.375,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E009,0.5,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | 文献参照: 柠檬压缩50.57N(Jentzsch2022); 青柠未单独实测,"[0821删] 原估算值1.5N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E010,2.0,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值10.0N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E011,1.5,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值7.5N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E012,0.5,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值1.5N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E013,0.25,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | 棉花糖: 未找到文献实测值,"[0821删] 原估算值0.75N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E014,5.0,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值25.0N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,2.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E015,2.0,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值10.0N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E016,1.75,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值8.75N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.875,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E017,2.5,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值12.5N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,1.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E018,2.0,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值10.0N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E019,2.0,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核),"[0821删] 原估算值10.0N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E020,2.0,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | 文献参照: 樱桃番茄挤压破裂21-64N(熊征2020); 普通番茄未单独实测,"[0821删] 原估算值6.0N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E021,2.0,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | 文献参照: 同E020樱桃番茄挤压破裂21-64N,"[0821删] 原估算值6.0N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E022,2.0,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | 文献参照: 柑橘类准静态压缩 柚40.32N/柠檬50.57N(Jentzsch2022); 西柚未单独实测,"[0821删] 原估算值6.0N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E023,0.5,50.57,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | Jentzsch2022 Frontiers in Materials 9 柠檬压缩50%形变50.57N; https://www.frontiersin.org/journals/materials/articles/10.3389/fmats.2022.979151/full,文献实测(压缩50%形变最大力),两指法向力之和,0.25,单指法向力(平板压缩),101.14,F_total = 2×F_single (SAFETYVTLA默认反算)
E024,1.5,40.0,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | Zhu2022 Food Sci Technol Res 28(1) 苹果压缩损伤阈值40N; Wang2024 Processes 12:543 压伤阈值54N; https://mdpi-res.com/d_attachment/processes/processes-12-00543/article_deploy/processes-12-00543.pdf,文献实测(压缩损伤阈值),两指法向力之和,0.75,单指法向力(平板压缩),80,F_total = 2×F_single (SAFETYVTLA默认反算)
E025,1.0,,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | 文献参照: 96份甜椒资源破裂力1.26-38.37N(中华农业科学2025); https://www.chinaagrisci.com/EN/10.3864/j.issn.0578-1752.2025.14.011,"[0821删] 原估算值3.0N(两指法向力之和(5×f_min外推,估算))",两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
E026,0.5,0.6,ExpForce实测,1,本物实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | 钟燚等2025 农业工程学报41(21) 草莓夹持0.6-1N损伤率55%; http://tcsae.org/article/doi/10.11975/j.issn.1002-6819.202411048 | 交叉验证: Mao2024测草莓损伤0.5N, 与钟燚0.6N一致","文献实测(夹持损伤阈值,单指/合力未确认)",两指法向力之和,0.25,"夹持法向力(单指/合力未确认,保守按合力)",0.6,F_single = F_total/2 (SAFETYVTLA默认)
E027,1.5,163.0,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | 脐橙挤压损伤力学 农业工程学报 横向163.46N/纵向196.15N; http://www.tcsae.org/cn/article/id/687bd121-9deb-4e40-8783-d19f0865852c,文献实测(横向极限载荷),两指法向力之和,0.75,单指法向力(平板压缩),326,F_total = 2×F_single (SAFETYVTLA默认反算)
E028,1.5,163.0,ExpForce实测,1,本物实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力); f_max=5×f_min外推(待复核) | 脐橙挤压损伤力学 农业工程学报 横向163.46N/纵向196.15N; http://www.tcsae.org/cn/article/id/687bd121-9deb-4e40-8783-d19f0865852c,文献实测(横向极限载荷),两指法向力之和,0.75,单指法向力(平板压缩),326,F_total = 2×F_single (SAFETYVTLA默认反算)
